SaturdayMorning,Vacation,Breakfast,House,FavouriteThing,City,Holiday,Cup,Friday,Beverage
6,6,1,1,3,6,5,6,4,Double Restritto
3,4,6,5,3,1,5,5,5,Madagascar Hot Chocolate
6,2,5,3,2,6,1,5,4,Kaapi-cino
1,4,1,4,4,6,4,6,4,Bellatte
3,5,2,1,3,2,1,4,5,Hot Chocolate
1,4,3,1,3,6,1,3,6,Hot Chocolate
5,5,4,1,6,3,3,3,2,Original South India Frappe
2,2,6,5,4,2,4,6,2,Hot Chocolate
6,1,2,5,1,5,6,6,4,Americano
2,1,4,1,1,4,1,6,1,Sea Salt Dark Mocha
2,4,1,5,3,3,4,3,6,Cafe Mocha
6,1,1,5,1,3,5,1,4,Double Restritto
3,5,6,5,1,1,2,3,3,Nariyal Irish Cream Frappe
5,1,1,2,4,1,3,4,5,Cold Brew
1,1,6,2,2,6,3,1,6,Iced Latte Cold Coffee
4,6,3,6,2,5,2,4,3,Madagascar Choco Chip Frappe
1,6,3,4,1,6,6,5,6,Madagascar Choco Chip Frappe
4,1,2,1,5,2,2,1,6,Americano
1,3,5,4,4,5,6,4,3,Flat White
6,3,6,6,4,1,4,1,2,Cafe Latte
5,4,6,4,1,2,3,1,3,Madagascar Choco Chip Frappe
4,6,2,6,5,5,4,3,2,Hot Chocolate
3,2,6,3,1,1,4,2,1,Kaapi-cino
1,6,4,5,2,2,1,4,5,Cafe Mocha
1,2,2,6,5,4,5,4,6,Classic Frappe Cold Coffee
4,5,3,4,1,5,1,4,4,Classic Frappe Cold Coffee
3,5,2,3,4,2,1,5,6,Americano
3,4,1,5,3,6,1,1,1,Double Restritto
6,3,6,3,6,4,3,2,1,Madagascar Choco Chip Frappe
6,1,6,3,5,3,3,2,4,Madagascar Choco Chip Frappe
6,3,5,2,3,3,4,2,1,South Indian Filter Kaapi
6,6,1,3,6,5,5,2,2,Espresso
6,3,4,5,2,3,4,3,1,Nariyal Irish Cream Frappe
6,6,1,6,1,1,6,5,1,Nariyal Irish Cream Frappe
5,4,6,3,3,4,1,6,2,Original South India Frappe
3,3,3,3,4,3,3,4,5,Cafe Mocha
6,2,4,3,6,1,5,4,3,Vietnamese Cold Coffee
3,3,1,6,5,1,6,3,3,Hazelnut Frappe Cold Coffee
3,2,1,3,5,5,2,6,1,Vietnamese Cold Coffee
2,5,2,3,5,5,3,2,6,Hot Chocolate
5,5,5,4,3,2,4,1,5,Espresso
6,6,1,3,2,2,5,5,6,Cappucino
1,4,5,6,6,1,6,5,2,Double Restritto
4,1,4,4,6,2,4,1,2,Cold Brew
1,3,5,1,4,4,6,3,4,Cafe Latte
5,1,1,1,2,1,5,2,3,Classic Frappe Cold Coffee
4,2,6,3,5,1,6,6,3,Bon Bon Cold Coffee
5,1,1,6,1,5,4,2,4,Cold Brew
3,3,3,5,1,3,1,6,4,Vietnamese Cold Coffee
4,6,2,2,4,5,6,5,5,Cafe Mocha
3,1,5,4,2,1,3,4,2,Sea Salt Dark Mocha
1,1,6,3,1,1,6,3,6,Nariyal Irish Cream Frappe
1,1,5,5,6,1,1,5,1,Flat White
4,4,2,2,5,3,2,1,1,Bellatte
4,1,5,5,6,5,4,2,6,Original South India Frappe
6,3,2,2,2,1,6,6,1,Bon Bon Cold Coffee
5,6,4,2,2,4,5,1,4,Hazelnut Frappe Cold Coffee
6,3,4,6,4,3,5,1,6,Cafe Latte
5,1,5,3,4,4,5,4,3,Madagascar Hot Chocolate
6,4,3,1,2,1,6,4,3,Espresso
3,2,1,6,5,5,1,4,4,Classic Frappe Cold Coffee
4,1,5,5,1,2,5,5,3,Cafe Mocha
1,4,4,5,6,1,3,2,4,Kaapi-cino
5,5,6,6,4,5,6,2,5,Bellatte
5,3,5,3,5,2,2,1,6,Madagascar Choco Chip Frappe
1,5,2,6,2,1,2,1,3,Original South India Frappe
6,3,2,4,5,4,2,3,3,Bellatte
5,2,4,1,3,2,1,6,6,Original South India Frappe
3,6,1,5,6,5,2,2,4,South Indian Filter Kaapi
4,4,2,2,4,2,4,6,1,Cold Brew
1,2,4,3,4,2,5,3,3,Cafe Mocha
4,5,3,5,3,4,3,2,5,Original South India Frappe
5,4,4,6,2,2,3,1,5,Cappucino
5,5,4,1,2,3,2,6,4,Hot Chocolate
1,1,1,4,5,3,2,5,2,Hazelnut Frappe Cold Coffee
3,5,1,2,1,2,2,3,6,Cafe Mocha
2,2,6,6,5,6,1,2,6,Iced Latte Cold Coffee
1,2,1,5,3,6,3,6,6,Hot Chocolate
2,1,6,6,4,4,4,2,1,Kaapi-cino
6,4,3,5,1,3,4,1,1,Vietnamese Cold Coffee
2,5,2,3,6,1,2,4,1,Hot Chocolate
3,6,4,2,3,2,4,5,1,Cafe Mocha
6,5,1,4,5,4,1,5,6,Madagascar Hot Chocolate
2,5,2,1,6,5,3,2,6,Nariyal Irish Cream Frappe
6,4,2,5,4,6,2,5,1,Nariyal Irish Cream Frappe
2,2,6,6,4,1,5,1,1,Iced Latte Cold Coffee
3,1,3,6,2,4,1,3,2,Cafe Latte
2,6,5,6,2,6,6,6,5,Hot Chocolate
2,4,3,6,6,3,3,2,4,Vietnamese Cold Coffee
2,1,2,6,5,2,2,4,2,Cafe Mocha
1,3,3,4,5,2,1,4,1,Vietnamese Cold Coffee
1,1,1,6,4,5,5,1,6,Hazelnut Frappe Cold Coffee
1,3,6,2,6,4,1,1,5,Madagascar Hot Chocolate
3,1,1,6,2,6,1,4,4,Hazelnut Frappe Cold Coffee
6,3,3,1,5,4,1,3,4,Classic Frappe Cold Coffee
5,5,2,6,6,3,5,4,1,Sea Salt Dark Mocha
2,6,1,5,4,3,4,6,1,Double Restritto
2,4,4,6,5,1,5,2,3,Americano
3,5,4,6,6,2,1,5,2,Iced Latte Cold Coffee
2,2,3,2,4,4,1,6,2,Cappucino
1,4,1,4,6,3,1,4,4,Double Restritto
5,5,6,5,3,1,4,2,5,Vietnamese Cold Coffee
4,1,2,5,2,2,1,4,1,Classic Frappe Cold Coffee
2,4,2,1,2,4,4,3,3,Iced Latte Cold Coffee
1,1,2,2,5,1,1,1,1,Classic Frappe Cold Coffee
4,5,1,2,2,4,6,3,5,Bellatte
5,4,4,2,4,4,3,4,3,Original South India Frappe
4,5,5,4,2,3,5,4,4,Bellatte
1,2,2,2,5,2,5,6,2,Double Restritto
6,5,4,5,3,4,1,5,5,Americano
6,6,6,5,3,4,4,2,2,Hazelnut Frappe Cold Coffee
4,2,2,1,4,2,3,3,6,South Indian Filter Kaapi
3,5,6,3,3,1,4,6,5,Cold Brew
4,4,5,4,4,1,4,6,1,South Indian Filter Kaapi
2,1,3,2,6,3,1,1,3,Madagascar Hot Chocolate
2,4,3,4,4,1,3,1,1,Flat White
6,5,3,5,4,4,5,4,1,Madagascar Choco Chip Frappe
3,6,1,3,6,2,2,2,5,Iced Latte Cold Coffee
1,5,3,4,5,5,5,6,4,Bellatte
2,5,2,5,2,3,3,2,4,Bellatte
6,3,5,3,3,1,4,4,3,Vietnamese Cold Coffee
5,2,5,3,2,3,3,2,4,Kaapi-cino
6,1,1,2,2,5,4,2,3,Flat White
2,2,5,3,4,2,6,1,1,Original South India Frappe
2,5,6,6,3,5,2,5,3,Original South India Frappe
6,5,3,3,2,6,3,6,4,Kaapi-cino
1,2,1,6,3,5,6,1,1,Espresso
4,2,3,6,4,4,5,6,4,Double Restritto
2,6,1,3,2,1,1,6,3,Bon Bon Cold Coffee
6,2,3,6,6,5,6,1,3,Espresso
6,3,2,3,5,5,5,2,3,Madagascar Hot Chocolate
3,2,6,4,1,1,1,5,2,Kaapi-cino
4,5,6,2,1,5,5,3,5,Americano
5,1,3,1,2,5,3,2,6,Cafe Mocha
1,4,6,1,3,4,2,1,6,Flat White
5,6,5,2,3,2,4,1,2,South Indian Filter Kaapi
4,2,4,1,1,6,1,5,6,Iced Latte Cold Coffee
4,2,1,2,5,1,6,2,5,Double Restritto
4,2,1,5,1,5,1,3,5,Original South India Frappe
5,6,1,3,4,6,5,4,5,Nariyal Irish Cream Frappe
4,1,4,4,3,2,5,6,2,Madagascar Choco Chip Frappe
6,2,3,3,3,4,4,1,2,Hazelnut Frappe Cold Coffee
5,2,1,3,2,5,5,6,5,Iced Latte Cold Coffee
4,6,1,5,4,3,5,2,5,Bellatte
6,2,3,1,2,5,1,6,2,Original South India Frappe
3,1,6,1,3,6,1,2,1,Kaapi-cino
4,4,4,1,5,5,5,4,2,Original South India Frappe
5,6,5,6,2,4,4,2,3,Iced Latte Cold Coffee
2,6,6,4,6,5,2,1,3,Cold Brew
4,5,6,5,3,4,5,2,6,Bon Bon Cold Coffee
2,1,5,5,3,4,5,4,1,Madagascar Hot Chocolate
6,2,2,2,4,5,6,1,5,Vietnamese Cold Coffee
3,3,6,3,3,5,5,3,6,Espresso
1,1,1,6,3,3,4,2,4,Madagascar Choco Chip Frappe
3,2,6,5,4,6,6,1,3,South Indian Filter Kaapi
4,6,1,3,5,4,3,5,2,Cold Brew
2,2,4,2,1,2,5,6,6,Cafe Latte
2,5,2,5,1,6,4,4,4,Bon Bon Cold Coffee
5,1,1,6,3,3,6,3,3,Cold Brew
2,1,4,4,1,2,1,4,5,Flat White
5,6,4,1,5,3,4,1,4,Hazelnut Frappe Cold Coffee
6,5,3,6,6,5,1,1,2,Bellatte
1,6,5,4,5,3,1,2,5,Iced Latte Cold Coffee
4,3,6,6,3,6,3,5,4,Madagascar Choco Chip Frappe
5,3,2,5,6,4,5,4,6,Classic Frappe Cold Coffee
1,4,5,5,3,3,1,4,6,Cafe Mocha
2,4,6,2,3,6,2,5,1,Hot Chocolate
2,5,1,4,2,4,3,3,4,Bon Bon Cold Coffee
1,6,1,3,3,5,5,1,3,Bon Bon Cold Coffee
2,1,5,5,4,5,5,5,1,Cold Brew
6,2,2,4,6,1,1,4,5,Hot Chocolate
6,3,5,1,6,4,4,4,4,Americano
1,6,1,2,6,6,6,5,4,Madagascar Hot Chocolate
5,1,5,2,4,1,3,1,2,Americano
5,6,6,3,6,6,2,5,3,Cafe Latte
1,4,4,5,4,3,6,1,4,Kaapi-cino
5,3,6,3,1,4,5,6,5,Vietnamese Cold Coffee
5,2,3,5,1,2,6,2,4,Kaapi-cino
6,6,4,6,3,1,5,2,4,Cold Brew
5,4,2,1,1,1,1,2,6,Kaapi-cino
3,2,3,5,1,2,1,3,3,Bellatte
4,4,1,4,6,4,2,3,3,Hot Chocolate
2,2,6,4,5,1,3,3,3,Nariyal Irish Cream Frappe
3,6,5,2,6,3,5,2,6,Sea Salt Dark Mocha
5,3,5,1,5,4,4,2,4,Americano
6,6,5,1,6,6,3,3,2,Vietnamese Cold Coffee
